Animal ID,Name,Animal Type,Sex upon Outcome,Breed,Color,Age_Months
A668305,Unnamed Pet,Other,Unknown,Turtle Mix,Brown/Yellow,12.0
A675999,Unnamed Pet,Other,Unknown,Turtle Mix,Green,12.0
A680855,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680857,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680858,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680859,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680860,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680861,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680862,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A680863,Unnamed Pet,Bird,Unknown,Duck,Yellow/Black,0.46
A683591,Unnamed Pet,Bird,Unknown,Catbird Mix,Brown,0.92
A683693,Unnamed Pet,Bird,Unknown,Grackle Mix,Black/White,0.46
A686222,Unnamed Pet,Bird,Intact Male,Silkie Mix,Black,5.0
A688001,Unnamed Pet,Bird,Unknown,Bantam Mix,White,2.0
A688002,Unnamed Pet,Bird,Unknown,Bantam Mix,White,2.0
A687621,Unnamed Pet,Bird,Unknown,Chicken Mix,Brown,6.0
A687622,Unnamed Pet,Bird,Unknown,Chicken Mix,Brown,6.0
A688000,Unnamed Pet,Bird,Unknown,Bantam Mix,White,2.0
A693750,Stetson,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/White,12.0
A694113,Rooster,Bird,Intact Male,Chicken Mix,Brown/Black,12.0
A694191,Unnamed Pet,Dog,Intact Male,Shiba Inu Mix,Tan,8.0
A694447,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby,0.69
A694454,Unnamed Pet,Cat,Intact Female,Domestic Longhair Mix,Blue Tabby,0.69
A604679,Snowball,Dog,Neutered Male,Chihuahua Shorthair Mix,Cream,72.0
A694566,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Black/White,0.23
A694592,Henry,Other,Unknown,Mouse Mix,Gray/Black,12.0
A695037,Nellie,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/White,36.0
A695071,Rebel,Dog,Neutered Male,Miniature Pinscher,Red,36.0
A693975,Roscoe,Dog,Neutered Male,Pit Bull Mix,Fawn/White,12.0
A696346,Valentine,Dog,Intact Female,Havanese Mix,White/Gray,36.0
A697599,Jasper,Cat,Intact Female,Domestic Longhair Mix,Torbie,2.0
A693369,Cupcake,Dog,Spayed Female,Pekingese Mix,White,24.0
A698568,Bella,Dog,Intact Female,Chihuahua Shorthair,Sable,36.0
A699665,Lemon,Bird,Unknown,Parakeet Mix,Yellow,12.0
A699767,Bluebonnet,Dog,Intact Male,Shih Tzu Mix,White,1.0
A699768,Daffodil,Dog,Intact Female,Shih Tzu Mix,Tan,1.0
A699769,Roger Rabbit,Dog,Intact Male,Shih Tzu Mix,White/Black,1.0
A699770,Latte,Dog,Intact Male,Shih Tzu Mix,White/Chocolate,1.0
A699771,Unnamed Pet,Dog,Intact Male,Shih Tzu Mix,Cream/Black,1.0
A699779,Unnamed Pet,Dog,Spayed Female,Shih Tzu,Tan,24.0
A699780,Unnamed Pet,Dog,Spayed Female,Shih Tzu Mix,Black,24.0
A699781,Unnamed Pet,Dog,Spayed Female,Shih Tzu Mix,White/Gray,12.0
A699782,Unnamed Pet,Dog,Intact Female,Shih Tzu Mix,White,36.0
A699783,Penny Lou,Dog,Intact Female,Shih Tzu,White/Brown,4.0
A699790,Tulip,Dog,Intact Female,Shih Tzu,Chocolate/White,12.0
A699791,Jessica,Dog,Intact Female,Shih Tzu,Black,0.92
A699792,Peter Cotton,Dog,Intact Male,Lhasa Apso,Black/White,1.0
A699358,Lacey,Dog,Spayed Female,Australian Cattle Dog Mix,White/Brown Brindle,5.0
A699797,Unnamed Pet,Dog,Neutered Male,Shih Tzu,White/Brown Brindle,10.0
A699917,Unnamed Pet,Dog,Spayed Female,Labrador Retriever Mix,Black/White,2.0
A700034,Unnamed Pet,Dog,Spayed Female,Miniature Schnauzer Mix,Buff/Gray,60.0
A700035,Unnamed Pet,Dog,Spayed Female,Miniature Schnauzer Mix,Black/Tan,12.0
A698408,Isabella,Dog,Spayed Female,Dachshund Mix,Blue Merle/Black,96.0
A699912,Fiona,Dog,Spayed Female,Labrador Retriever Mix,Black,12.0
A699937,Gordo,Dog,Neutered Male,Labrador Retriever Mix,Chocolate,96.0
A700190,Unnamed Pet,Other,Unknown,Lizard Mix,Black/Yellow,36.0
A699787,Mike,Dog,Neutered Male,Shih Tzu,White/Gray,12.0
A694349,Jersey,Other,Unknown,Rabbit Sh Mix,White/Black,12.0
A700569,Willie,Dog,Neutered Male,Pembroke Welsh Corgi/Dachshund,Black/White,12.0
A701177,Unnamed Pet,Dog,Intact Female,Labrador Retriever Mix,Tan,2.0
A700980,Cassie,Dog,Spayed Female,Carolina Dog Mix,Tan,2.0
A700795,Teddy,Dog,Neutered Male,Pit Bull Mix,White/Tan,3.0
A700796,Rigger,Dog,Neutered Male,Black Mouth Cur/American Staffordshire Terrier,Tan/White,4.0
A701542,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Black,0.69
A697165,Zoey,Dog,Spayed Female,Labrador Retriever/Anatol Shepherd,White/Black,2.0
A701255,Joshua,Dog,Neutered Male,Shih Tzu Mix,White,108.0
A701250,Unnamed Pet,Livestock,Intact Female,Pig Mix,Pink,24.0
A702222,Sweetcheeks,Dog,Intact Male,Pit Bull,White,6.0
A695189,Gunner,Dog,Neutered Male,Border Collie/German Shepherd,Black/White,8.0
A702777,Unnamed Pet,Dog,Unknown,Cairn Terrier Mix,Tan,5.0
A702625,Delilah,Dog,Intact Female,Great Pyrenees,White,1.0
A701701,Cooper,Dog,Intact Male,Miniature Poodle/Cocker Spaniel,Gold,5.0
A703278,Stella,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,24.0
A703275,Sheena,Dog,Intact Female,Rat Terrier Mix,Tricolor,72.0
A703283,Jenny,Dog,Intact Female,Redbone Hound,Red/White,5.0
A702558,Rico,Dog,Neutered Male,Border Collie/Australian Cattle Dog,White/Black,24.0
A702428,Sammy,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,36.0
A702722,Poppy,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,24.0
A703052,Hailey,Dog,Intact Female,Great Pyrenees Mix,White,24.0
A702955,Charlize,Dog,Intact Female,Chihuahua Shorthair Mix,White/Black,96.0
A702926,Minnie,Dog,Spayed Female,Pointer Mix,White/Brown,12.0
A702105,Sparky,Dog,Neutered Male,Rat Terrier Mix,White/Tan,24.0
A698393,Avery,Dog,Spayed Female,Chinese Sharpei Mix,Brown,12.0
A701772,Dimond,Dog,Spayed Female,German Shepherd Mix,Black/White,36.0
A698044,Gladys,Dog,Intact Female,Labrador Retriever Mix,Yellow,24.0
A703447,Laurel,Cat,Spayed Female,Domestic Shorthair Mix,Calico,24.0
A701976,Sapphire,Cat,Spayed Female,Domestic Longhair Mix,Brown Tabby/White,36.0
A700056,Alyssa,Dog,Spayed Female,Pit Bull Mix,Brown Brindle,12.0
A647139,Tiny,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,24.0
A647140,Lovey,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,24.0
A484945,Johnnie,Cat,Neutered Male,Domestic Shorthair Mix,Black,84.0
A588789,Austin,Dog,Neutered Male,Border Collie Mix,Chocolate/White,48.0
A590362,Texas,Dog,Neutered Male,Labrador Retriever/Australian Shepherd,Blue Tick/Black,48.0
A658800,Houdini,Cat,Neutered Male,Domestic Medium Hair Mix,Blue/White,12.0
A704586,Simon,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,2.0
A704589,Sylvester,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,2.0
A705626,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705627,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705628,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705629,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705630,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705631,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705632,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705633,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705636,Packard,Dog,Unknown,Boxer Mix,Black,6.0
A705637,Ford,Dog,Unknown,Boxer Mix,White,6.0
A705624,Unnamed Pet,Dog,Unknown,Boxer Mix,Black,1.0
A705294,Unnamed Pet,Dog,Intact Female,Chihuahua Longhair Mix,Red,48.0
A705296,Unnamed Pet,Dog,Intact Male,Chihuahua Longhair Mix,Black,2.0
A705204,Dinah,Cat,Spayed Female,Domestic Shorthair Mix,Calico,2.0
A705241,Flower,Dog,Intact Female,Australian Cattle Dog Mix,Red,6.0
A704984,Daisy,Dog,Spayed Female,Boxer Mix,Brown/White,5.0
A705064,Spoon,Dog,Spayed Female,Australian Kelpie Mix,Tricolor,4.0
A704735,Topper,Dog,Intact Male,Labrador Retriever/German Shepherd,Brown,4.0
A704565,Boudreau,Dog,Intact Male,Pit Bull Mix,Brown,2.0
A704566,Soda Pop,Dog,Intact Female,Beagle Mix,Black/White,8.0
A694130,Snoopy,Dog,Intact Male,Chihuahua Longhair Mix,Black/Brown,8.0
A703854,Unnamed Pet,Bird,Unknown,Parakeet,Green/Blue,24.0
A703855,Unnamed Pet,Bird,Unknown,Parakeet,Green/Blue,24.0
A706038,Unnamed Pet,Dog,Intact Male,Great Pyrenees Mix,White,2.0
A705937,Unnamed Pet,Dog,Neutered Male,Chihuahua Shorthair Mix,Black,1.0
A705441,Unnamed Pet,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Tan,36.0
A703670,Unnamed Pet,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,2.0
A704031,Daquiri,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,3.0
A703893,Jesse Moon,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,2.0
A704353,Hugo,Cat,Neutered Male,Domestic Medium Hair Mix,Black,2.0
A704326,Oj,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,2.0
A705615,Vivian,Cat,Spayed Female,Domestic Medium Hair Mix,Blue Tabby,2.0
A705049,Fancy,Cat,Spayed Female,Domestic Shorthair Mix,Black,2.0
A705050,Fallon,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,2.0
A704472,Tiger,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,3.0
A704464,Marmalade,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,3.0
A700751,Gypsy,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,2.0
A702992,Cloud,Cat,Neutered Male,Domestic Medium Hair Mix,Brown Tabby,2.0
A702989,Star,Cat,Neutered Male,Domestic Medium Hair Mix,Brown Tabby,2.0
A706562,Dawn,Cat,Spayed Female,Domestic Shorthair Mix,Black,3.0
A706564,Nicky,Cat,Neutered Male,Domestic Shorthair Mix,Black,3.0
A706565,Ducky,Cat,Neutered Male,Domestic Shorthair Mix,Black,3.0
A706294,Lissa,Cat,Spayed Female,Domestic Shorthair Mix,Orange Tabby,2.0
A706295,Marty,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,2.0
A706296,Mica,Cat,Spayed Female,Domestic Medium Hair,Orange Tabby,2.0
A706156,Holmes,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,2.0
A706135,Pete,Cat,Neutered Male,Domestic Medium Hair Mix,Black/White,2.0
A705818,Cher,Cat,Spayed Female,Domestic Longhair Mix,Blue Tabby,2.0
A706868,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,0.92
A706869,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,0.92
A706871,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Calico,0.92
A706304,Mike,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,2.0
A707172,Unnamed Pet,Dog,Intact Male,Australian Cattle Dog Mix,Blue Merle,1.0
A707633,Cookie Monst,Dog,Spayed Female,Bruss Griffon Mix,Orange/Tan,6.0
A707641,Coco Chanel,Dog,Intact Female,Dachshund,Red,96.0
A707046,Jameson,Dog,Neutered Male,Siberian Husky Mix,White/White,36.0
A702755,Oscar,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,2.0
A707958,Stitch,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan,12.0
A704994,Rajah,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,2.0
A708683,Birdie,Cat,Spayed Female,Domestic Medium Hair Mix,Cream Tabby,3.0
A708684,Bobbie,Cat,Spayed Female,Domestic Shorthair Mix,Cream Tabby/White,3.0
A708667,Phantom,Dog,Neutered Male,Chihuahua Shorthair Mix,Black,72.0
A708422,Giblets,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,4.0
A708423,Gilbert,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,4.0
A708113,Dinker,Cat,Neutered Male,Domestic Medium Hair Mix,Brown Tabby,4.0
A707571,Mason,Cat,Neutered Male,Domestic Longhair Mix,Brown Tabby/White,24.0
A702654,Amber,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,5.0
A702655,Mica,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,4.0
A704952,Tommy,Cat,Neutered Male,Domestic Medium Hair Mix,Brown Tabby,3.0
A709161,Mitzi,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,12.0
A709162,Unnamed Pet,Cat,Intact Male,Siamese,Lilac Point,0.69
A709163,Unnamed Pet,Cat,Intact Male,Domestic Shorthair,Black,0.69
A709165,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,0.69
A709166,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Torbie,0.69
A709167,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.69
A709168,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,0.69
A709298,Rob,Cat,Intact Male,Domestic Shorthair Mix,Black,1.0
A709299,Jon,Cat,Intact Male,Domestic Shorthair Mix,Black,1.0
A709300,Bran,Cat,Intact Male,Domestic Shorthair Mix,Black,1.0
A709301,Sansa,Cat,Intact Female,Domestic Shorthair Mix,Black,1.0
A709302,Rickon,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,1.0
A709303,Arya,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,1.0
A709313,Philippa,Cat,Intact Female,Domestic Shorthair Mix,Torbie,12.0
A709314,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.69
A709315,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.69
A709316,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Torbie,0.69
A709317,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,0.69
A709318,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,0.69
A707352,Graybles,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,2.0
A707350,Lily,Cat,Spayed Female,Siamese Mix,Lynx Point,24.0
A703324,Goose,Cat,Spayed Female,Domestic Shorthair Mix,Blue/White,72.0
A689467,Sammy,Dog,Neutered Male,Pit Bull Mix,Black/White,48.0
A708175,Scout,Cat,Spayed Female,Domestic Shorthair Mix,White/Black,1.0
A710645,Unnamed Pet,Other,Unknown,Ringtail Mix,Fawn/Black,12.0
A710624,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Calico,0.13
A694795,Rosie,Dog,Spayed Female,Pit Bull Mix,Brown/White,12.0
A710406,Unnamed Pet,Other,Unknown,Hamster,Tan/White,12.0
A710407,Unnamed Pet,Other,Unknown,Hamster,Brown,12.0
A710408,Unnamed Pet,Other,Unknown,Hamster,Gray,12.0
A708146,Mittens,Cat,Spayed Female,Domestic Shorthair Mix,Black/White,2.0
A709338,Tiny,Dog,Neutered Male,Chihuahua Longhair Mix,White,84.0
A710099,Sandy,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Buff,12.0
A710086,Niko,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Black,24.0
A710134,Eddie,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Black,12.0
A710797,Rusty,Dog,Neutered Male,English Pointer Mix,Brown/White,12.0
A710635,Wally,Dog,Neutered Male,Chihuahua Shorthair Mix,Fawn/White,12.0
A710095,Danny,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Buff,12.0
A710071,Herb,Cat,Neutered Male,Domestic Shorthair Mix,White/Black,2.0
A710072,Hamilton,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,2.0
A709432,Viola,Dog,Spayed Female,Border Collie Mix,Black/White,8.0
A709484,Walter,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,4.0
A708292,Obie,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,2.0
A710913,Unnamed Pet,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,24.0
A711722,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.46
A711723,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,0.46
A711724,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.46
A711725,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,0.46
A711726,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Black/White,0.46
A711728,Unnamed Pet,Cat,Intact Female,Ragdoll Mix,Lilac Point,0.46
A711729,Unnamed Pet,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby/White,0.46
A711730,Unnamed Pet,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby,0.46
A711731,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,0.46
A707834,Toledo,Dog,Neutered Male,Toy Poodle,White,60.0
A711903,Clarence,Cat,Intact Male,Domestic Shorthair Mix,Black,1.0
A712450,Unnamed Pet,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,2.0
A712809,Pixie,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2.0
A712857,Collin,Dog,Intact Male,American Pit Bull Terrier Mix,Brown Brindle,24.0
A713454,Unnamed Pet,Dog,Intact Female,Chihuahua Shorthair Mix,White,72.0
A713019,Tywin,Cat,Intact Male,Domestic Shorthair Mix,Black/White,1.0
A713610,Poppi,Dog,Spayed Female,Labrador Retriever/Border Collie,Black/White,12.0
A711583,Big Head,Dog,Spayed Female,Pit Bull Mix,Black/White,12.0
A653755,Bambi,Dog,Spayed Female,German Shepherd/Labrador Retriever,Brown,24.0
A713929,Wingman,Cat,Neutered Male,Siamese Mix,Seal Point,24.0
A711514,Dakota,Dog,Spayed Female,Australian Cattle Dog Mix,Blue Merle/White,2.0
A708644,Autumn,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,24.0
A711584,Kitty,Cat,Intact Male,Domestic Shorthair Mix,Black/White,2.0
A713852,Peach,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,2.0
A713659,Ava,Cat,Spayed Female,Domestic Medium Hair Mix,Tortie,72.0
A714259,Unnamed Pet,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,0.23
A710994,Bronson,Dog,Neutered Male,Bull Terrier,Brown Brindle/White,24.0
A594702,Indy,Dog,Neutered Male,Labrador Retriever Mix,Black/White,72.0
A714050,Brian,Cat,Intact Male,Domestic Shorthair Mix,White/Black,1.0
A714057,Princess,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Tan,12.0
A714386,Unnamed Pet,Dog,Spayed Female,Chihuahua Shorthair Mix,Sable/Buff,1.0
A697261,Roltan,Dog,Neutered Male,Schnauzer Giant Mix,Black/White,11.0
A714226,Lars,Dog,Intact Male,Yorkshire Terrier Mix,Black/Brown,84.0
A714366,Unnamed Pet,Bird,Unknown,Goose Mix,White/Gray,36.0
A714051,Brad,Cat,Intact Male,Domestic Shorthair Mix,White/Black,1.0
A713835,Unnamed Pet,Dog,Intact Male,Chihuahua Shorthair Mix,Black/Brown,24.0
A713871,Riley Grace,Dog,Spayed Female,Border Collie Mix,Black,72.0
A714379,Eddie,Dog,Neutered Male,Siberian Husky Mix,Brown/Black,12.0
A714510,Simon,Dog,Neutered Male,Rat Terrier Mix,White/Black,12.0
A713620,Cosette,Dog,Intact Female,Siberian Husky Mix,White,36.0
A712836,Bambi,Dog,Spayed Female,Pit Bull Mix,Brown/White,8.0
A713171,Bruce,Dog,Neutered Male,Queensland Heeler Mix,Tricolor,12.0
A714596,Cooper,Dog,Neutered Male,Boxer Mix,White/Black,12.0
A714384,Solavino,Dog,Intact Female,Chihuahua Shorthair Mix,Tricolor,24.0
A714775,Mimi,Dog,Spayed Female,Chihuahua Shorthair Mix,Black/Tan,24.0
A714776,Juan,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor,5.0
A714608,Pugsly,Dog,Neutered Male,Pug Mix,White/Tan,12.0
A714726,Victor,Dog,Intact Male,Chihuahua Shorthair/Dachshund,Brown/White,12.0
A714736,Marty,Dog,Neutered Male,Chihuahua Shorthair Mix,Yellow,24.0
A714837,Afina,Dog,Spayed Female,Pit Bull Mix,Tan/White,10.0
A433746,Evette,Dog,Spayed Female,Australian Shepherd Mix,White/Brown,108.0
A715146,Ferdinand,Dog,Intact Male,German Shepherd Mix,Tan/White,36.0
A715234,Unnamed Pet,Dog,Intact Male,Pit Bull Mix,Red/White,24.0
A715121,Coqueta,Dog,Spayed Female,Golden Retriever Mix,Gold,24.0
A715127,Maddie,Dog,Intact Female,Chihuahua Shorthair Mix,White/Black,12.0
A715139,Unnamed Pet,Dog,Spayed Female,Australian Cattle Dog/Bull Terrier,White/Red Tick,8.0
A714820,Lizzie,Dog,Spayed Female,Plott Hound Mix,Brown Brindle,6.0
A714878,Bean,Dog,Spayed Female,Jack Russell Terrier/Chihuahua Shorthair,Black/White,96.0
A714879,Unnamed Pet,Dog,Intact Female,Chihuahua Shorthair Mix,Brown/Brown,12.0
A713392,Basil,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,3.0
A609622,Cory,Dog,Spayed Female,Chihuahua Shorthair/Wire Hair Fox Terrier,Gold,96.0
A715357,Roxy,Dog,Intact Female,Labrador Retriever/Pembroke Welsh Corgi,Black,12.0
A715345,Jordy,Dog,Neutered Male,Labrador Retriever Mix,Yellow,10.0
A715280,Pauly,Dog,Neutered Male,Labrador Retriever Mix,Tricolor,2.0
A715089,Unnamed Pet,Dog,Spayed Female,Labrador Retriever Mix,Black/White,12.0
A714869,Figaro,Dog,Neutered Male,Chihuahua Shorthair Mix,White/Brown,12.0
A715556,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Black,3.0
A715558,Unnamed Pet,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,2.0
A715733,Unnamed Pet,Cat,Unknown,Domestic Shorthair Mix,Orange/Orange Tabby,0.23
A715618,Unnamed Pet,Dog,Intact Male,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan,24.0
A715283,Maja,Dog,Neutered Male,Great Pyrenees/Labrador Retriever,White/Tan,12.0
A711319,Leah,Cat,Spayed Female,Domestic Shorthair Mix,Black,12.0
A708645,Spring,Cat,Spayed Female,Domestic Shorthair Mix,Black,4.0
A714876,Newton,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,36.0
A712403,Kawhi,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,5.0
A713163,Peanut,Cat,Neutered Male,Domestic Shorthair Mix,Blue Tabby,48.0
A715106,Ms Kitty,Cat,Spayed Female,Domestic Shorthair Mix,Blue/White,48.0
A716131,Spike,Dog,Neutered Male,Chihuahua Shorthair Mix,Yellow,12.0
A716220,Easy,Dog,Spayed Female,Dachshund Mix,Black/Tan,48.0
A716236,Unnamed Pet,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,5.0
A715820,Pru,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,3.0
A715740,Hoshi,Cat,Neutered Male,Domestic Shorthair Mix,Black Tabby/White,3.0
A715755,Unnamed Pet,Dog,Spayed Female,Dachshund Mix,Blue Merle,1.0
A716096,Cynda,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,0.92
A715699,Buck,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,10.0
A715700,Minnie,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,10.0
A715446,Pooh,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,11.0
A715447,Pappy,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,11.0
A715004,Coal,Cat,Neutered Male,Domestic Shorthair Mix,Black,2.0
A715005,Onyx,Cat,Spayed Female,Domestic Shorthair Mix,Black,2.0
A715287,Bernabe,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,11.0
A715297,Moonshadow,Cat,Spayed Female,Domestic Shorthair Mix,Blue,2.0
A715298,Domino,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,2.0
A715219,Talisa,Cat,Spayed Female,Domestic Shorthair Mix,Torbie,3.0
A714625,Mariah,Cat,Spayed Female,Domestic Shorthair Mix,Calico,2.0
A714626,Marco,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,2.0
A715060,Unnamed Pet,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,24.0
A641346,Rome,Dog,Neutered Male,Doberman Pinsch,Chocolate,84.0
A713996,Perkins,Dog,Intact Male,Chihuahua Shorthair Mix,Buff,48.0
A716252,Karmen,Dog,Intact Female,Labrador Retriever Mix,Black,72.0
A716278,Stefanie,Dog,Spayed Female,Australian Shepherd Mix,White/Red,60.0
A716391,Muffin,Dog,Spayed Female,Miniature Schnauzer Mix,Chocolate,36.0
A716488,Unnamed Pet,Dog,Neutered Male,Pit Bull Mix,Red,24.0
A716064,Lady,Dog,Intact Female,Chihuahua Shorthair Mix,Tan/White,60.0
A716066,Louie,Dog,Neutered Male,Chihuahua Shorthair Mix,Tan/White,24.0
A715673,Mia,Dog,Intact Female,Rhod Ridgeback Mix,Brown,48.0
A716649,Bunnie,Dog,Spayed Female,Jindo Mix,Tan/White,48.0
A606678,Mimi,Dog,Spayed Female,Bichon Frise Mix,White,84.0
A679536,Lucky,Dog,Neutered Male,Chihuahua Shorthair Mix,Brown,36.0
A716400,Calliope,Dog,Intact Female,Yorkshire Terrier Mix,Black/Tan,12.0
A668484,Mickey,Dog,Neutered Male,Chihuahua Shorthair Mix,Black/Tan,24.0
A716722,Farisa,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,2.0
A537127,Fozzy Bear,Dog,Neutered Male,Miniature Poodle Mix,Chocolate,96.0
A716646,Scraps,Dog,Neutered Male,Carolina Dog Mix,Sable,5.0
A713408,Trinity,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,12.0
A715696,Princess,Dog,Spayed Female,Black/Tan Hound Mix,Black/Brown,24.0
A715635,Knight,Dog,Neutered Male,Australian Cattle Dog Mix,Black,24.0
A716857,Banana,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,7.0
A716624,Dooley,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby/White,8.0
